"","gene name","index","rank","v1","v2","v3","v4","v5","v6","names","X12.5fmol_C2","X12.5fmol_C3","X12.5fmol_C4","X12.5fmol_C8","X12.5fmol_C9","X12.5fmol_C10","X25fmol_semtumorS36","X25fmol_semtumorS40","X25fmol_semtumorS49","X25fmol_semtumorS61","X25fmol_semtumorS64","X25fmol_semtumorS68","X25fmol_semtumorT16","X50fmol_T1T2S57","X50fmol_T1T2S77","X50fmol_T1T2S78","X50fmol_T1T2T20","X50fmol_T1T2T22","X50fmol_T1T2T23","X100fmol_T3T4S44","X100fmol_T3T4S45","X100fmol_T3T4S81","X100fmol_T3T4T2","X100fmol_T3T4T5","X100fmol_T3T4T65","X100fmol_T3T4T9"
"P0C0L5_C4B","P0C0L5_C4B","21","11","0.131949459631369","0.065659228265515","0.0281913877110201","0.0793665368746788","0.00242921595160186","0.000291308753217232","P0C0L5_C4B","22.07401","23.20477","23.1503","22.68507","22.55178","22.97666","25.86235","23.3434","24.04093","24.22501","21.78624","25.78132","24.06587","25.85062","23.48726","22.94592","23.28037","23.64988","22.72945","24.80828","22.93252","24.51785","23.67142","25.78908","25.10057","24.02454"
"P02769_ALB","P02769_ALB","3","12","0.0335217501821585","0.0282029635832601","0.0182460666196679","0.0999980356547491","0.0893656420588592","0.00096777681005863","P02769_ALB","28.0805","26.34472","27.38772","27.61933","27.96069","27.3226","28.71394","28.11857","27.87074","28.22578","28.6268","27.31536","28.17112","28.49953","29.11135","29.91042","30.36045","29.85004","29.61742","30.63945","30.10237","31.18187","30.29691","28.945","28.81598","28.41659"
"P07237_P4HB","P07237_P4HB","6","13","0.00218458139782318","0.000359234204443926","0.0326807086150286","0.00731583613298484","0.0452081201855743","0.0401385206101816","P07237_P4HB","24.44966","25.35377","24.89689","24.63981","23.78077","23.89975","22.57295","22.67526","23.60772","23.61941","24.50628","24.78706","22.85032","24.49344","22.70443","23.16019","23.75908","23.26985","22.25612","23.82309","25.09824","23.68228","24.66433","25.00838","24.60767","25.60558"
"P02671_FGA","P02671_FGA","31","14","0.00962470149669736","0.041122737913043","0.018027234955368","0.0296905455340149","0.0160365599747585","0.00968418172262944","P02671_FGA","23.14275","22.42309","22.70107","24.68282","23.09867","23.87577","27.23187","25.57848","24.34929","26.09636","22.95481","24.57051","24.89514","26.56734","26.87291","23.8768","24.49881","26.13516","24.64658","24.97863","24.95642","23.03567","24.26699","26.82517","25.93594","25.79454"
"P07339_CTSD","P07339_CTSD","7","15","0.0140194751476768","0.0150287286733064","0.0222860287082103","0.0244087619448038","1.5266764548627e-06","0.0168390385214127","P07339_CTSD","23.13187","22.78614","23.45551","22.50031","23.34976","23.32031","20.00498","20.72459","22.68716","22.50031","21.43527","24.03179","20.62248","22.17877","22.23801","21.83846","21.80215","22.46978","21.69485","21.09726","20.99037","22.16922","21.57579","20.65997","22.3943","21.22723"
"P01036_CST4","P01036_CST4","15","16","0.0116873332869838","0.000933066875870623","0.014921071921822","0.00139210832015537","0.00816510218984413","0.028463572040523","P01036_CST4","32.06558","31.15074","30.73497","30.73417","31.57817","27.99879","0","0","25.82262","30.2021","30.7319","27.91798","27.92417","27.7449","31.59174","30.36119","30.04791","29.53211","28.15219","30.27919","28.38595","29.64033","28.8832","24.31866","0","0"
"P32119_PRDX2","P32119_PRDX2","19","17","4.87294891741139e-05","0.000284234150829412","0.000591714500521967","0.0616123932853507","0.00436466609178705","0.00443156422053411","P32119_PRDX2","25.34851","26.80193","25.81609","25.09164","25.23805","27.76294","24.73123","23.9228","25.31174","0","24.87155","25.98906","25.01342","25.82364","24.40769","26.18858","25.61378","25.15831","26.93506","25.56921","26.14184","25.35797","28.56783","25.63109","28.2056","26.78544"
"P09228_CST2","P09228_CST2","5","18","0.0199128621494779","0.00165560159250374","0.0036241140852403","0.027575469635481","0.00499343878045456","0.00305110136324608","P09228_CST2","32.12362","30.3452","30.93747","29.39887","31.02082","29.89894","0","21.11832","24.31154","28.32946","30.92181","26.38962","26.07218","27.49014","30.80939","30.64779","29.1344","29.281","25.9052","29.83331","27.44727","28.58917","28.43686","22.13028","22.90036","22.45603"
"P02787_TF","P02787_TF","24","19","0.0139007815839395","0.000801892834350184","0.000922118838036354","0.000120937133612874","0.00242962533347509","0.0232645825268788","P02787_TF","26.52558","27.98691","28.28003","29.08947","29.06224","27.65191","31.41976","30.22424","29.13244","29.62178","28.22384","29.15661","30.42362","29.71024","29.58867","28.54484","29.27324","29.20408","30.90656","30.00905","28.81091","26.92909","28.41466","27.31095","30.49133","26.9941"
"P01024_C3","P01024_C3","26","20","0.0289368205688171","0.00360818613268117","0.000815456080910293","0.00265527359710281","0.0025760863231159","0.00576602253961211","P01024_C3","24.48376","24.53035","25.49085","26.1042","25.77992","26.09517","28.06805","26.41664","26.88157","26.96301","25.89046","26.56909","27.70167","27.03894","27.89001","25.21982","26.18775","26.84182","25.52256","27.84655","26.31764","25.73092","26.78357","26.37408","29.14338","25.70322"
"Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5","20","21","0.00213969239543175","0.000153491740306911","0.00421300192839464","1.72241132837558e-05","0.0015562136044271","0.0304722100260462","Q9NQ38-3_SPINK5","23.58026","24.00804","23.27427","23.56767","23.01924","22.22976","21.86748","0","22.43708","21.54071","22.68069","22.73614","21.7054","22.27131","21.38816","22.56076","24.30522","20.82011","23.13807","0","21.72484","24.01308","0","0","21.19634","0"
"P01037_CST1","P01037_CST1","12","22","0.00474239939388627","0.000757410736713083","0.00553241963057027","0.00249027298534249","0.00584197085761128","0.0056672476015625","P01037_CST1","31.61671","31.14218","30.84595","29.62342","31.06715","28.23284","0","0","25.70662","30.12583","30.69304","27.05134","27.73124","26.87643","29.68338","30.30138","29.83251","28.17083","27.36127","28.76538","27.93719","29.45018","27.97656","24.35897","0","0"
"Q8TD19_NEK9","Q8TD19_NEK9","8","23","0.00494319918369749","0.000692228032338874","0.00340936826962638","0.00643515282733577","0.00661127535637277","3.16848558224072e-05","Q8TD19_NEK9","22.46775","21.52573","21.27304","21.10521","23.8319","22.17139","24.50494","24.74093","0","23.82124","21.63671","23.9526","0","24.45613","23.594","22.86257","27.78257","25.10538","24.90003","27.88745","27.6224","27.33637","25.49613","26.50587","23.56139","23.635"
"A0A087WZM2_RNASET2","A0A087WZM2_RNASET2","25","24","0.0142808525914573","4.06765187362204e-05","4.26128088862843e-05","0.000315005592634682","7.94886117325657e-05","0.0057436453870031","A0A087WZM2_RNASET2","22.198","22.36552","21.99058","20.93366","22.08505","21.90279","19.66289","21.91649","23.75277","22.25963","22.35006","22.83136","21.32893","21.73099","21.86193","21.3103","0","20.71154","20.84284","20.80404","21.7534","21.9379","21.48247","0","21.3387","21.07601"
"A0A087WVW2_IGHG3","A0A087WVW2_IGHG3","30","25","0.01409904383827","0.000776531538953045","5.49329568103865e-06","1.17153789657559e-05","0.00350383691745885","0.000107844816832908","A0A087WVW2_IGHG3","0","22.35192","22.89623","23.28814","23.83779","24.17995","27.61604","26.88983","23.78107","26.38535","24.16231","25.09079","24.47364","26.11519","25.13367","23.40354","23.45337","23.59184","24.47599","25.42928","21.92303","23.02135","24.18843","26.93719","26.95903","24.46588"
"Q99879_HIST1H2BM","Q99879_HIST1H2BM","33","26","0.0085861479785849","0.00301636918137907","0.00108152620390681","0.000413937905847706","0.000311742987104238","0.000464498174826429","Q99879_HIST1H2BM","26.69777","25.80602","27.76471","26.61779","26.77919","27.01903","23.07091","24.08521","25.08383","21.92016","25.47528","26.00828","24.9502","24.36546","24.53463","22.50693","27.4369","26.03607","0","24.13798","23.46737","22.22729","26.5353","26.93258","25.37219","27.60682"
"P02675_FGB","P02675_FGB","13","27","0.00158097214396611","0.00483583874893052","0.00125925298098765","0.00314151653427931","0.00134812938211178","0.000914828820382986","P02675_FGB","25.12025","23.955","24.80582","25.86898","24.77158","25.12183","28.55424","26.72819","26.42193","27.31173","25.55078","25.47664","27.242","26.36453","27.48524","25.0299","25.0264","26.81946","25.93591","25.82837","26.00438","25.59503","26.11809","28.45658","27.82881","26.54837"
"O43707_ACTN4","O43707_ACTN4","17","28","4.06971494785389e-05","0.00022108268264279","0.000525179204186387","0.00153870478570712","0.00227456588727124","0.00202642790239805","O43707_ACTN4","21.02695","23.21545","22.8157","22.14448","21.58578","22.41214","21.64324","21.86929","21.74571","20.77917","22.35888","21.6468","22.14485","23.5643","23.09013","21.15937","22.01754","20.84452","0","22.2758","23.34516","23.05509","23.23841","24.09844","22.66568","23.74294"
"P00738_HP","P00738_HP","23","29","1.56056537984163e-05","4.82485595377872e-06","0.000665907962133108","0.00223174970901863","0.00411413383890343","6.06776020828438e-05","P00738_HP","26.32401","27.18044","26.97695","29.39793","28.62495","28.82799","31.26908","30.32817","29.69076","29.79721","28.7816","29.32281","31.24513","29.51024","30.52412","28.70193","28.76636","27.75296","29.18509","29.35073","28.65901","24.98224","29.53343","28.45431","30.75151","28.22205"
"P12814-3_ACTN1","P12814-3_ACTN1","14","30","0.00260934640215887","0.000277191660411704","6.6135565932024e-05","0.000549686403976974","0.00120295091002598","0.00101216782349846","P12814-3_ACTN1","25.32186","25.76552","26.11555","25.84216","25.04822","26.11765","24.33245","26.01122","24.25148","24.41183","25.68215","24.6392","25.54345","24.97408","25.02225","23.61043","24.9213","25.83887","0","24.3018","26.22199","25.20385","26.90667","26.55215","26.15209","26.47011"
"P00441_SOD1","P00441_SOD1","16","31","0.00229952159847048","0.000136546575907898","3.07139381260928e-05","5.51620951596642e-05","0.000930062444384526","0.00209523551736824","P00441_SOD1","22.42278","23.14506","23.61986","21.79325","23.25494","22.87862","21.13364","0","22.42693","23.27597","22.18262","23.69264","22.12865","22.35628","23.89514","23.44405","25.81201","25.29457","23.81304","22.69895","22.7604","21.88655","23.25494","0","21.26167","21.67487"
"Q02487_DSC2","Q02487_DSC2","28","32","0.000391658875740339","0.000418580951195625","3.0077454589804e-05","0.00259082832206716","2.52499740775496e-05","0.000116014944219698","Q02487_DSC2","23.5559","25.61883","24.33776","23.70187","23.82172","23.08941","22.79765","0","21.99386","23.61684","23.84575","24.80995","22.16116","22.59603","22.62341","22.37703","24.34618","22.87823","23.01531","22.39024","24.2589","22.18347","22.41101","0","20.8012","20.82322"
"A0A024R6X1_CES2","A0A024R6X1_CES2","22","33","0.000392475727350132","8.0505805727003e-05","7.89498316971799e-05","0.000538595394263208","0.000161080944037732","0.000223384498948859","A0A024R6X1_CES2","21.8697","23.79084","23.35904","23.17141","22.7577","22.92236","22.82483","0","22.37111","22.26267","21.65648","24.40775","21.69757","22.54028","0","22.15054","22.5214","22.18909","23.33674","21.68761","22.64264","21.76276","21.1187","0","21.21939","21.36357"
