"","id","name","100fmol -score","12.5fmol -score","25fmol -score","50fmol -score"
"194","P19971-2_TYMP","P19971-2_TYMP","0.1045","0.0726","-0.039","-0.149"
"195","P05164-3_MPO","P05164-3_MPO","0.0625","0.1472","-0.0658","-0.1434"
"196","P18510-2_IL1RN","P18510-2_IL1RN","-0.1388","0.1459","-0.0275","0.048"
"197","P62328_TMSB4X","P62328_TMSB4X","0.0225","0.034","0.073","-0.1455"
"198","C9JC84_FGG","C9JC84_FGG","0.0722","-0.1445","0.0696","-0.0209"
"199","O60888-2_CUTA","O60888-2_CUTA","-0.0817","-0.1442","0.1232","0.0959"
"200","P04745_AMY1A","P04745_AMY1A","-0.1425","0.044","0.0454","0.0692"
"201","Q9H0U4_RAB1B","Q9H0U4_RAB1B","0.048","-0.0806","0.142","-0.141"
"202","A0A087WV47_IGHG1","A0A087WV47_IGHG1","0.0608","-0.141","0.0631","-0.0036"
"203","P02787_TF","P02787_TF","-0.0873","-0.1398","0.1269","0.0936"
"204","Q06830_PRDX1","Q06830_PRDX1","0.0684","0.0883","-0.1388","-0.0062"
"205","P04080_CSTB","P04080_CSTB","-0.0551","0.1371","-0.0718","0.011"
"206","P25311_AZGP1","P25311_AZGP1","-0.1369","0.0794","0.041","0.0324"
"207","P08311_CTSG","P08311_CTSG","0.099","0.0712","-0.1369","-0.027"
"208","J3KPA1_CRISP3","J3KPA1_CRISP3","-0.1364","0.0854","0.0227","0.0473"
"209","Q08188_TGM3","Q08188_TGM3","0.036","0.1352","-0.1236","-0.033"
"210","P01034_CST3","P01034_CST3","-0.1183","0.1324","-0.0216","0.0308"
"211","P22894_MMP8","P22894_MMP8","-0.0332","-0.0863","-0.0049","0.1307"
"212","P04264_KRT1","P04264_KRT1","0.0797","0.1273","-0.1211","-0.079"
"213","P30740_SERPINB1","P30740_SERPINB1","-0.1267","0.0708","0.0023","0.0743"
"214","P32926_DSG3","P32926_DSG3","-0.113","0.1262","-0.0284","0.0388"
"215","P31947_SFN","P31947_SFN","-0.0351","0.1252","-0.069","-0.0037"
"216","E7EX29_YWHAZ","E7EX29_YWHAZ","-0.0514","0.1248","0.0064","-0.0724"
"217","P14174_MIF","P14174_MIF","-0.0498","0.0597","0.1054","-0.1246"
"218","P01876_IGHA1","P01876_IGHA1","0.0214","0.0622","-0.1239","0.0574"
"219","P07237_P4HB","P07237_P4HB","0.1118","0.0881","-0.0816","-0.1234"
"220","P00338-3_LDHA","P00338-3_LDHA","0.0162","0.0682","0.0273","-0.119"
"221","P63261_ACTG1","P63261_ACTG1","0.0684","0.0497","-0.0092","-0.1188"
"222","P07737_PFN1","P07737_PFN1","0.0212","0.0122","0.0694","-0.1179"
"223","P62937_PPIA","P62937_PPIA","0.0014","0.0491","0.0575","-0.1178"
"224","P29401-2_TKT","P29401-2_TKT","0.0016","0.0679","0.0404","-0.117"
"225","X6R8F3_LCN2","X6R8F3_LCN2","0.1166","-0.0717","0.0067","-0.0721"
"226","P68032_ACTC1","P68032_ACTC1","0.1163","-0.0517","0.0214","-0.109"
"227","A0A075B6P5","A0A075B6P5","-0.1163","0.0341","-0.0091","0.1122"
"228","F5H5D3_TUBA1C","F5H5D3_TUBA1C","0.1033","0.0031","-0.1159","0.0116"
"229","P04217_A1BG","P04217_A1BG","-0.0309","-0.0976","0.1143","3e-04"
"230","P05109_S100A8","P05109_S100A8","0.1079","-0.0033","-0.0078","-0.1135"
"231","P06702_S100A9","P06702_S100A9","0.1122","-0.0295","-0.0017","-0.0995"
"232","P01623","P01623","-0.1116","-0.0167","0.0611","0.0756"
"233","P01714","P01714","-0.0372","-0.1108","0.0554","0.0896"
"234","P26038_MSN","P26038_MSN","0.1083","-0.0553","0.0061","-0.0781"
"235","P03973_SLPI","P03973_SLPI","-0.0286","0.1081","-0.084","0.0232"
"236","P16403_HIST1H1C","P16403_HIST1H1C","-0.0586","0.108","-0.1022","0.0796"
"237","O00764_PDXK","O00764_PDXK","-0.0379","0.1077","-0.0872","0.0382"
"238","Q8N4F0_BPIFB2","Q8N4F0_BPIFB2","-0.0568","0.0974","-0.1073","0.094"
"239","P61626_LYZ","P61626_LYZ","0.0229","-0.066","-0.0576","0.1064"
"240","A8K2U0_A2ML1","A8K2U0_A2ML1","0.0092","0.1063","-0.0857","-0.0171"
"241","P01763","P01763","-0.0289","-0.1063","0.0438","0.089"
"242","P06396_GSN","P06396_GSN","0.0654","0.0062","0.0182","-0.1038"
"243","P00558_PGK1","P00558_PGK1","-0.0215","0.0369","0.0779","-0.1026"
"244","Q01469_FABP5","Q01469_FABP5","-0.0702","0.0994","0.0077","-0.0264"
"245","P69905_HBA1","P69905_HBA1","0.0989","-0.075","-0.0484","0.0161"
"246","CON__P00761","CON__P00761","0.0086","-4e-04","-0.0927","0.0985"
"247","P06733_ENO1","P06733_ENO1","-0.0262","0.0649","0.0497","-0.0923"
"248","P31946_YWHAB","P31946_YWHAB","0.0284","0.0922","-0.0777","-0.0347"
"249","Q96DR5_BPIFA2","Q96DR5_BPIFA2","-0.0443","0.0417","-0.07","0.0915"
"250","P08670_VIM","P08670_VIM","0.0643","0.0902","-0.0792","-0.0728"
"251","CON__P60712_ACTB","CON__P60712_ACTB","0.0451","0.0895","-0.0531","-0.0802"
"252","P22079_LPO","P22079_LPO","-0.0707","0.0888","0.0469","-0.061"
"253","P09211_GSTP1","P09211_GSTP1","-0.0341","0.0885","-0.014","-0.0325"
"254","P31949_S100A11","P31949_S100A11","0.0883","0.0061","-0.0649","-0.0334"
"255","P15153_RAC2","P15153_RAC2","0.0124","-0.0881","0.08","-0.0198"
"256","P14780_MMP9","P14780_MMP9","0.023","0.0246","0.0307","-0.0872"
"257","P04406_GAPDH","P04406_GAPDH","-0.015","0.0863","-0.0142","-0.0522"
"258","Q01518_CAP1","Q01518_CAP1","0.0473","-0.0115","0.036","-0.0857"
"259","P10599_TXN","P10599_TXN","-0.0498","0.0847","-0.0075","-0.0178"
"260","CON__P13645_KRT10","CON__P13645_KRT10","-0.0237","0.0838","-0.0739","0.0301"
"261","P59998-3_ARPC4","P59998-3_ARPC4","0.0609","0.0299","-0.015","-0.0834"
"262","CON__P02768-1_ALB","CON__P02768-1_ALB","-0.0722","-0.076","0.0814","0.0654"
"263","P08107_HSPA1A","P08107_HSPA1A","0.032","0.0174","0.0228","-0.0813"
"264","P68871_HBB","P68871_HBB","0.0805","-0.0636","-0.0431","0.02"
"265","P0C0S8_HIST1H2AG","P0C0S8_HIST1H2AG","0.0252","0.0804","-0.0676","-0.0309"
"266","P06314_IGKV4-1","P06314_IGKV4-1","-0.0803","-0.0508","0.0796","0.0516"
"267","P06753-2_TPM3","P06753-2_TPM3","0.0788","-0.0216","-0.0394","-0.0244"
"268","P01591_IGJ","P01591_IGJ","-0.052","0.0787","-0.0127","-0.0033"
"269","Q99536_VAT1","Q99536_VAT1","0.0762","-0.0125","-0.0438","-0.0254"
"270","O75626_PRDM1","O75626_PRDM1","0.076","-0.046","-0.0267","-0.0115"
"271","P24158_PRTN3","P24158_PRTN3","0.0213","-0.0741","0.0498","-0.0088"
"272","P04075-2_ALDOA","P04075-2_ALDOA","-0.0174","0.0498","0.035","-0.0703"
"273","P14618_PKM2","P14618_PKM2","0.013","0.038","0.0146","-0.0702"
"274","P37837_TALDO1","P37837_TALDO1","4e-04","0.0306","0.0324","-0.0688"
"275","P30044_PRDX5","P30044_PRDX5","-0.0123","0.0685","-0.0073","-0.0457"
"276","P13796_LCP1","P13796_LCP1","0.0616","-0.0669","0.017","-0.0248"
"277","P50395_GDI2","P50395_GDI2","0.0381","0.0151","0.0027","-0.0626"
"278","A0A087WW89","A0A087WW89","-0.0619","-0.013","0.05","0.027"
"279","P01717","P01717","-0.0272","-0.0609","0.0583","0.0246"
"280","E9PK25_CFL1","E9PK25_CFL1","0.06","-0.0338","0.0182","-0.0574"
"281","Q9UGM3-6_DMBT1","Q9UGM3-6_DMBT1","-0.0083","0.0134","-0.0546","0.0599"
"282","Q08380_LGALS3BP","Q08380_LGALS3BP","-0.0491","0.0594","0.0012","-0.0035"
"283","P02788_LTF","P02788_LTF","0.0082","0.0534","-0.0342","-0.0231"
"284","P11021_HSPA5","P11021_HSPA5","0.003","0.052","-0.0123","-0.0411"
"285","A0A075B6L0_IGLC3","A0A075B6L0_IGLC3","-0.0035","-0.0409","0.0519","-0.0155"
"286","P10412_HIST1H1E","P10412_HIST1H1E","-0.0045","0.0508","-0.0453","0.0072"
"287","P01833_PIGR","P01833_PIGR","-0.0502","0.0314","0.042","-0.0219"
"288","O00299_CLIC1","O00299_CLIC1","0.0342","0.0185","-0.0081","-0.049"
"289","A0A087WT59_TTR","A0A087WT59_TTR","0.0357","-0.0261","-0.0474","0.0397"
"290","A0A087WZW8","A0A087WZW8","-0.0178","-0.0467","0.0412","0.0194"
"291","P01779","P01779","-0.0345","-0.0115","0.0447","-4e-04"
"292","P11142_HSPA8","P11142_HSPA8","0.0429","-0.0434","0.031","-0.0428"
"293","P31151_S100A7","P31151_S100A7","-0.0427","0.0427","0.0126","-0.0076"
"294","P60174_TPI1","P60174_TPI1","-0.004","0.0123","0.0262","-0.0382"
"295","P13797_PLS3","P13797_PLS3","-0.0134","-0.0363","0.0303","0.0165"
"296","A0A087WX49_IGLL5","A0A087WX49_IGLL5","0.0046","0.0196","-0.0177","-0.0043"
"297","P40121_CAPG","P40121_CAPG","-0.0164","0.0137","0.0155","-0.0127"
