		A2058_1	A2058_2	A2058_3	Skmel_1	Skmel_2	A431_1	A431_2	A431_3	SCC9_1	SCC9_2	HEK_2	HEK_3	HaCaT_1	HaCaT_2	HaCaT_3
		melanoma	melanoma	melanoma	melanoma	melanoma	carcinoma	carcinoma	carcinoma	carcinoma	carcinoma	normal	normal	normal	normal	normal
C3	IPI00783987_C3	5.62	0.00	2.67	5.92	0.00	107.29	256.20	132.34	102.76	152.40	9.28	12.25	3.15	0.00	11.42
THBS2	IPI00018769_THBS2	223.58	291.38	257.65	128.66	117.13	4.95	4.02	5.59	2.63	0.00	0.00	0.00	2.10	0.00	2.18
THBS1	IPI00296099_THBS1	55.05	72.63	54.20	51.76	66.10	92.44	78.37	85.74	80.36	36.38	0.00	3.06	57.76	38.52	31.55
HSP90AB1	IPI00414676_HSP90AB1	57.30	43.58	31.10	19.23	31.31	125.45	46.22	55.92	46.11	50.11	21.64	75.00	50.41	56.86	50.01
HSPA5	IPI00003362_HSPA5	29.21	23.93	20.43	210.00	182.07	75.93	70.33	67.10	27.67	30.89	43.29	42.86	24.16	27.52	21.22
ACTN1	IPI00759776_ACTN1	30.33	34.18	26.65	17.75	42.91	57.77	56.26	71.76	68.51	73.46	10.82	4.59	43.06	34.24	37.54
PGK1	IPI00169383_PGK1	38.20	35.03	33.76	68.03	45.23	84.18	34.16	51.26	92.22	70.00	49.47	33.68	39.91	39.13	39.17
LAMA1	IPI00375294_LAMA1	144.93	137.57	132.38	82.82	163.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LAMA5	IPI00783665_LAMA5	6.74	24.78	25.76	0.00	0.00	67.68	119.56	92.27	47.43	42.56	17.01	26.02	77.72	44.64	36.45
VCP	IPI00022774_VCP	37.08	10.25	19.55	4.44	12.76	24.76	29.14	35.41	151.50	116.02	17.01	27.55	26.26	28.74	25.03
CALR	IPI00020599_CALR	20.22	23.93	16.88	156.76	154.24	23.11	50.24	55.92	27.67	22.65	4.64	26.02	13.65	17.12	15.23
ALB	IPI00022434_ALB	39.32	19.65	39.09	82.82	16.24	72.63	10.01	26.10	72.46	15.79	72.66	97.97	43.06	7.95	8.16
TPI1	IPI00465028_TPI1	42.69	32.47	33.76	69.51	41.75	70.98	49.23	37.28	60.60	33.64	80.39	55.11	63.01	25.68	22.85
EEF1A1	IPI00396485_EEF1A1	17.98	17.09	16.88	10.35	12.76	59.42	21.10	26.10	60.60	44.62	40.20	39.80	37.81	48.92	46.24
PDIA3	IPI00025252_PDIA3	23.59	16.24	15.99	128.66	102.05	47.87	33.16	23.30	35.57	19.91	37.10	21.43	33.61	17.12	14.15
TKT	IPI00942979_TKT	37.08	23.93	26.65	8.87	32.47	37.97	35.17	26.10	56.65	42.56	43.29	35.21	33.61	37.30	32.10
TNC	IPI00031008_TNC	143.81	140.14	151.04	102.04	74.22	3.30	0.00	16.78	0.00	0.00	0.00	0.00	0.00	3.67	2.72
MSN	IPI00219365_MSN	53.93	30.76	28.43	8.87	26.67	41.27	32.15	38.21	65.87	46.00	7.73	7.65	56.71	51.36	47.88
LAMA3	IPI00377045_LAMA3	0.00	0.00	0.00	0.00	0.00	13.21	13.06	41.94	105.39	71.40	0.00	3.06	46.21	42.80	42.98
TLN1	IPI00298994_TLN1	24.72	13.67	12.44	0.00	0.00	4.95	2.01	2.80	168.63	173.00	3.09	0.00	2.10	6.73	3.81
GAPDH	IPI00219018_GAPDH	33.71	16.24	17.77	13.31	10.44	72.63	16.08	16.78	38.20	110.53	30.92	16.84	28.36	31.18	45.16
HSP90AA1	IPI00382470_HSP90AA1	65.16	53.83	42.65	29.58	34.79	77.58	23.11	41.01	36.89	41.88	27.83	101.03	49.36	57.48	46.24
PLOD3	IPI00030255_PLOD3	87.63	88.87	111.06	84.30	70.74	4.95	14.07	29.82	0.00	6.87	15.46	13.78	17.85	7.34	4.35
FLNA	IPI00333541_FLNA	42.69	29.91	34.65	0.00	5.80	28.06	30.14	32.62	31.62	53.55	0.00	0.00	50.41	50.75	50.01
LAMA4	IPI00735310_LAMA4	107.86	105.10	106.61	34.01	38.27	0.00	4.02	3.73	0.00	0.00	51.02	84.19	0.00	0.00	0.00
ECM1	IPI00003351_ECM1	26.96	35.03	31.10	162.68	106.69	14.86	38.18	33.55	5.27	6.87	0.00	0.00	27.31	20.18	29.38
YWHAZ	IPI00021263_YWHAZ	55.05	35.03	32.87	14.79	17.40	37.97	27.13	27.96	61.92	46.68	38.65	21.43	39.91	23.85	22.31
GPI	IPI00908881_GPI	26.96	23.07	30.21	29.58	35.95	39.62	29.14	29.82	22.40	37.07	24.74	24.49	21.00	26.90	27.20
MMP1	IPI00008561_MMP1	165.16	147.83	137.71	0.00	0.00	0.00	0.00	0.00	3.95	0.00	0.00	0.00	15.75	15.29	28.83
LAMB3	IPI00299404_LAMB3	0.00	0.00	0.00	0.00	0.00	13.21	13.06	34.48	117.25	72.77	0.00	0.00	59.86	35.46	35.91
FASN	IPI00026781_FASN	33.71	21.36	30.21	5.92	2.32	23.11	10.01	34.48	5.27	38.44	58.75	41.33	8.40	39.74	47.88
CST3	IPI00032293_CST3	7.86	14.53	9.77	34.01	16.24	26.41	20.01	20.50	68.51	48.74	18.55	19.90	75.62	14.06	23.39
TUBB	IPI01022164_TUBB	35.95	31.62	19.55	0.00	17.40	77.58	30.14	32.62	55.33	41.19	78.85	58.17	22.05	29.35	27.75
PGAM1	IPI00549725_PGAM1	32.58	27.34	28.43	23.66	24.35	29.71	26.12	34.48	32.94	21.97	35.56	29.08	32.56	25.68	26.11
AHNAK	IPI00021812_AHNAK	2.25	0.00	2.67	0.00	0.00	0.00	0.00	0.00	42.16	36.38	0.00	0.00	34.66	55.03	47.33
IGFBP7	IPI00016915_IGFBP7	47.19	50.41	54.20	51.76	57.98	19.81	33.16	25.16	30.30	19.91	9.28	10.71	17.85	9.17	14.69
CD109	IPI00152540_CD109	21.35	29.91	29.32	59.16	53.35	9.90	44.21	34.48	7.90	11.67	6.18	0.00	59.86	29.35	32.10
HMCN1	IPI00871227_HMCN1	82.02	93.99	87.07	69.51	82.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TUBA1C	IPI00218343_TUBA1C	28.09	23.93	22.21	20.70	20.87	62.73	28.13	27.96	46.11	35.01	49.47	41.33	24.16	25.68	22.85
GDI2	IPI00031461_GDI2	19.10	21.36	23.99	13.31	20.87	36.31	33.16	38.21	28.98	34.33	35.56	36.74	33.61	34.24	34.27
LDHA	IPI00217966_LDHA	37.08	15.38	24.88	32.54	26.67	49.52	22.10	24.23	23.71	67.28	30.92	22.96	25.21	26.90	39.17
HIVEP2	IPI00144243_HIVEP2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	6.12	0.00	0.00	0.00
PPIA	IPI00419585_PPIA	29.21	24.78	25.76	23.66	19.71	34.66	24.11	17.71	38.20	24.71	35.56	32.14	54.61	20.79	23.39
APP	IPI00006608_APP	33.71	47.00	28.43	60.63	41.75	11.55	21.10	27.96	17.13	9.61	7.73	36.74	13.65	7.95	10.34
NME1-NME2	IPI00604590_NME1-NME2	24.72	24.78	27.54	14.79	23.19	19.81	23.11	23.30	30.30	17.16	27.83	41.33	31.51	18.34	15.78
LMNA	IPI00021405_LMNA	37.08	28.20	26.65	11.83	10.44	26.41	16.08	15.84	31.62	32.95	0.00	0.00	46.21	47.69	42.44
NUCB1	IPI00295542_NUCB1	56.18	29.91	32.87	13.31	23.19	3.30	29.14	20.50	38.20	19.91	32.47	35.21	21.00	10.39	13.60
LAMC2	IPI00015117_LAMC2	0.00	0.00	0.00	0.00	0.00	16.51	21.10	35.41	109.34	60.41	0.00	0.00	39.91	36.08	33.19
ANXA2	IPI00418169_ANXA2	25.84	4.27	2.67	44.37	62.62	79.23	70.33	57.78	36.89	25.40	0.00	0.00	46.21	11.62	9.79
GSTP1	IPI00219757_GSTP1	34.83	16.24	17.77	14.79	25.51	37.97	32.15	38.21	47.43	52.17	10.82	21.43	44.11	31.80	31.55
FLNB	IPI00289334_FLNB	13.48	18.80	12.44	0.00	0.00	6.60	8.04	14.91	22.40	54.23	0.00	0.00	19.95	50.14	49.51
HNRNPA2B1	IPI00396378_HNRNPA2B1	11.24	12.82	11.55	0.00	2.32	21.46	12.06	6.52	25.03	26.09	52.56	42.86	30.46	26.90	27.20
GDF15	IPI00306543_GDF15	11.24	9.40	9.77	363.81	180.91	3.30	10.01	7.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACTN4	IPI00013808_ACTN4	55.05	46.14	44.42	17.75	31.31	49.52	44.21	53.12	64.55	56.29	10.82	19.90	51.46	33.63	35.91
PFN1	IPI00216691_PFN1	24.72	23.93	23.10	20.70	12.76	18.16	17.08	13.98	97.49	32.95	20.10	22.96	76.67	22.01	16.87
P4HB	IPI00010796_P4HB	8.99	15.38	14.22	42.89	70.74	24.76	23.11	27.96	35.57	32.27	7.73	19.90	8.40	11.62	11.42
HSPA4	IPI00002966_HSPA4	19.10	28.20	22.21	7.39	28.99	23.11	27.13	36.35	19.76	19.22	30.92	44.39	26.26	34.85	24.48
TXN	IPI00216298_TXN	5.62	4.27	2.67	8.87	9.28	4.95	7.03	5.59	61.92	35.01	7.73	7.65	143.88	15.29	16.32
YWHAE	IPI00000816_YWHAE	40.45	29.05	23.10	10.35	22.03	24.76	23.11	28.89	47.43	28.15	30.92	53.57	32.56	31.80	27.75
PLOD1	IPI00027192_PLOD1	29.21	47.00	43.53	87.25	68.42	0.00	19.09	13.98	2.63	8.92	3.09	6.12	10.50	10.39	8.16
PRDX1	IPI00000874_PRDX1	24.72	11.96	13.33	28.10	23.19	24.76	14.07	13.98	30.30	14.42	32.47	35.21	30.46	18.95	16.87
UBA1	IPI00645078_UBA1	19.10	11.96	15.10	0.00	8.12	51.17	29.14	31.69	27.67	28.83	64.93	39.80	45.16	37.30	34.27
KRT1	IPI00220327_KRT1	10.11	47.85	28.43	16.27	28.99	8.25	9.04	33.55	3.95	11.67	51.02	61.23	13.65	26.90	21.22
NCL	IPI00604620_NCL	22.47	14.53	8.00	0.00	19.71	39.62	23.11	27.03	48.74	27.46	3.09	16.84	32.56	36.08	21.22
GANAB	IPI00383581_GANAB	10.11	15.38	19.55	65.07	68.42	9.90	2.01	11.18	0.00	8.24	24.74	18.37	3.15	8.56	8.70
NID1	IPI00026944_NID1	55.05	64.94	78.18	39.93	24.35	0.00	0.00	0.00	0.00	0.00	35.56	65.82	0.00	0.00	0.00
QPCT	IPI00003919_QPCT	55.05	55.54	65.74	76.90	55.67	0.00	0.00	0.00	0.00	0.00	34.01	24.49	0.00	0.00	0.00
EFEMP1	IPI00029658_EFEMP1	4.49	2.56	4.44	0.00	0.00	51.17	38.18	42.87	40.84	21.28	7.73	0.00	53.56	29.35	31.55
GSN	IPI00026314_GSN	2.25	0.00	3.55	23.66	34.79	9.90	0.00	2.80	3.95	12.36	0.00	9.18	57.76	35.46	60.93
VIM	IPI00418471_VIM	99.99	52.12	65.74	59.16	86.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PLEC	IPI00014898_PLEC	6.74	5.98	3.55	5.92	2.32	11.55	12.06	15.84	36.89	48.74	0.00	0.00	19.95	23.24	22.31
GRN	IPI00296713_GRN	5.62	14.53	15.10	5.92	19.71	8.25	33.16	17.71	11.86	21.28	30.92	30.61	26.26	17.73	20.13
HSP90B1	IPI00027230_HSP90B1	10.11	10.25	5.33	76.90	66.10	59.42	30.14	34.48	9.22	20.60	6.18	19.90	0.00	5.50	9.79
QSOX1	IPI00003590_QSOX1	20.22	29.05	26.65	28.10	26.67	14.86	35.17	31.69	13.17	10.30	24.74	26.02	12.60	7.95	7.07
TIMP2	IPI00027166_TIMP2	24.72	44.43	47.09	53.24	38.27	6.60	15.07	6.52	10.54	15.10	10.82	9.18	0.00	0.00	0.00
EZR	IPI00843975_EZR	13.48	15.38	10.66	0.00	10.44	51.17	20.01	30.76	57.97	39.13	26.28	15.31	50.41	39.13	28.83
TIMP1	IPI00032292_TIMP1	12.36	24.78	13.33	48.80	34.79	39.62	28.13	27.96	19.76	9.61	40.20	29.08	14.70	9.78	9.25
TINAGL1	IPI00005563_TINAGL1	0.00	0.00	0.00	0.00	0.00	59.42	56.26	41.94	43.47	22.65	0.00	0.00	28.36	15.29	13.06
MMP2	IPI00027780_MMP2	41.57	82.03	71.08	22.18	24.35	0.00	5.02	0.00	0.00	0.00	18.55	10.71	21.00	19.57	21.76
FBN2	IPI00019439_FBN2	4.49	11.11	13.33	2.96	0.00	0.00	0.00	0.00	0.00	0.00	94.31	90.31	0.00	0.00	0.00
FSTL1	IPI00029723_FSTL1	24.72	19.65	16.88	47.32	26.67	3.30	9.04	8.39	10.54	8.92	81.94	90.31	0.00	0.00	0.00
PARK7	IPI00298547_PARK7	28.09	15.38	14.22	8.87	17.40	41.27	17.08	20.50	39.52	23.34	26.28	19.90	27.31	14.67	11.97
SERPINE2	IPI00914848_SERPINE2	42.69	35.03	33.76	136.06	74.22	0.00	0.00	0.00	0.00	0.00	0.00	6.12	0.00	0.00	0.00
CTSB	IPI00909303_CTSB	4.49	15.38	12.44	42.89	52.19	0.00	8.04	0.00	10.54	17.85	3.09	0.00	30.46	20.79	25.57
LAMB2	IPI00296922_LAMB2	3.37	21.36	11.55	5.92	25.51	0.00	32.15	21.44	0.00	9.61	4.64	0.00	50.41	18.34	13.60
SLMAP	IPI00030531_SLMAP	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
COPG	IPI00783982_COPG	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.55	0.00	0.00	0.00	7.95	3.26
FBN1	IPI00328113_FBN1	2.25	13.67	8.88	4.44	0.00	0.00	0.00	0.00	0.00	0.00	13.91	0.00	0.00	0.00	0.00
MYH9	IPI00019502_MYH9	39.32	20.51	22.21	2.96	2.32	34.66	8.04	15.84	21.08	14.42	0.00	0.00	9.45	22.01	14.15
DAG1	IPI00028911_DAG1	20.22	19.65	21.32	23.66	17.40	18.16	23.11	22.37	13.17	5.49	38.65	30.61	16.80	10.39	9.79
KRT10	IPI00009865_KRT10	4.49	34.18	23.10	13.31	28.99	6.60	10.01	24.23	2.63	15.79	35.56	47.45	21.00	20.18	11.97
SFN	IPI00013890_SFN	2.25	2.56	0.00	0.00	2.32	21.46	14.07	27.03	39.52	30.21	4.64	4.59	47.26	44.64	60.39
A2M	IPI01010737_A2M	37.08	63.23	80.85	8.87	19.71	9.90	0.00	3.73	2.63	3.43	12.37	15.31	8.40	0.00	0.00
NPM1	IPI00549248_NPM1	32.58	20.51	9.77	11.83	18.56	33.01	16.08	18.64	25.03	7.55	15.46	35.21	16.80	11.62	9.79
MDH2	IPI00291006_MDH2	3.37	6.84	5.33	7.39	15.08	34.66	24.11	21.44	52.70	24.03	34.01	32.14	15.75	4.28	4.35
PPIB	IPI00646304_PPIB	21.35	15.38	15.99	25.14	23.19	28.06	16.08	12.12	11.86	6.18	32.47	24.49	16.80	10.39	10.88
KRT9	IPI00019359_KRT9	11.24	31.62	27.54	13.31	15.08	4.95	11.05	19.57	5.27	9.61	27.83	47.45	12.60	21.40	15.78
DENND4A	IPI00396063_DENND4A	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PCSK9	IPI00387168_PCSK9	0.00	0.00	0.00	0.00	0.00	66.03	41.19	40.01	7.90	7.55	0.00	0.00	39.91	26.29	29.38
FBLN1	IPI00296534_FBLN1	0.00	2.56	2.67	2.96	0.00	39.62	28.13	20.50	28.98	10.98	52.56	41.33	17.85	10.39	9.79
CFL1	IPI00012011_CFL1	26.96	17.09	18.66	8.87	10.44	13.21	15.07	17.71	38.20	25.40	10.82	12.25	15.75	18.34	15.78
B2M	IPI00004656_B2M	15.73	11.96	10.66	31.06	23.19	24.76	38.18	17.71	10.54	3.43	17.01	19.90	13.65	5.50	7.07
TUT1	IPI00000875_TUT1	16.85	14.53	15.99	2.96	11.60	13.21	10.01	18.64	17.13	13.73	34.01	27.55	17.85	26.29	22.85
TAGLN2	IPI00550363_TAGLN2	10.11	9.40	6.22	0.00	0.00	36.31	22.10	25.16	32.94	31.58	15.46	7.65	26.26	22.62	17.41
GPC1	IPI00015688_GPC1	6.74	11.96	6.22	11.83	11.60	49.52	64.30	30.76	14.49	8.24	0.00	0.00	29.41	15.90	14.15
FAT2	IPI00302641_FAT2	0.00	0.00	0.00	0.00	0.00	21.46	23.11	15.84	2.63	8.24	0.00	0.00	47.26	39.74	43.52
APOE	IPI00021842_APOE	25.84	42.72	34.65	103.52	102.05	0.00	0.00	0.00	0.00	0.00	13.91	0.00	0.00	0.00	0.00
C1R	IPI00956148_C1R	0.00	11.96	7.11	0.00	0.00	19.81	46.22	31.69	27.67	35.01	12.37	27.55	0.00	0.00	0.00
APLP2	IPI00031030_APLP2	10.11	7.69	7.11	32.54	23.19	13.21	31.15	24.23	13.17	6.18	0.00	10.71	24.16	9.78	13.06
IGFBP6	IPI00029235_IGFBP6	2.25	3.42	4.44	14.79	23.19	28.06	46.22	38.21	14.49	9.61	3.09	0.00	35.71	12.23	11.97
ALCAM	IPI00015102_ALCAM	0.00	6.84	11.55	0.00	0.00	28.06	32.15	24.23	27.67	20.60	10.82	6.12	48.31	23.24	17.41
NPC2	IPI00940960_NPC2	13.48	17.09	12.44	31.06	18.56	23.11	19.09	23.30	14.49	5.49	10.82	21.43	30.46	14.06	12.51
EIF5A	IPI00376005_EIF5A	20.22	15.38	14.22	0.00	5.80	9.90	11.05	13.05	13.17	13.04	15.46	21.43	7.35	14.06	14.69
CLIC1	IPI00010896_CLIC1	23.59	19.65	15.99	11.83	19.71	21.46	18.08	17.71	17.13	15.79	13.91	13.78	17.85	14.67	13.06
CSPG4	IPI00019157_CSPG4	49.43	58.11	52.42	29.58	47.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CLTC	IPI00455383_CLTC	28.09	14.53	15.10	0.00	2.32	19.81	9.04	14.91	7.90	31.58	18.55	15.31	4.20	16.51	14.15
COL4A2	IPI00306322_COL4A2	24.72	28.20	27.54	4.44	11.60	29.71	22.10	13.98	0.00	0.00	30.92	36.74	13.65	5.50	10.34
HNRNPA1	IPI01021093_HNRNPA1	12.36	5.98	7.11	0.00	0.00	6.60	7.03	6.52	13.17	17.85	24.74	27.55	16.80	9.78	10.34
TPM3	IPI00218319_TPM3	20.22	12.82	9.77	5.92	11.60	24.76	14.07	11.18	22.40	13.73	3.09	9.18	22.05	11.01	12.51
FSCN1	IPI00163187_FSCN1	8.99	9.40	14.22	0.00	0.00	3.30	2.01	11.18	13.17	22.65	0.00	0.00	17.85	20.79	26.11
ANXA1	IPI00218918_ANXA1	0.00	0.00	0.00	13.31	17.40	61.08	23.11	15.84	51.38	20.60	0.00	0.00	22.05	9.17	7.62
TTN	IPI00940872_TTN	0.00	0.00	0.00	2.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NOV	IPI00011140_NOV	17.98	20.51	13.33	87.25	68.42	0.00	4.02	3.73	0.00	0.00	17.01	7.65	4.20	6.73	3.26
SPP1	IPI00921882_SPP1	39.32	45.29	42.65	32.54	45.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PRKCSH	IPI00026154_PRKCSH	5.62	5.13	5.33	32.54	52.19	6.60	7.03	9.32	3.95	4.12	7.73	13.78	4.20	3.67	2.72
ATRN	IPI00027235_ATRN	4.49	11.11	10.66	8.87	5.80	11.55	42.20	24.23	6.59	3.43	3.09	10.71	22.05	8.56	14.15
YWHAG	IPI00220642_YWHAG	16.85	13.67	12.44	13.31	8.12	14.86	11.05	19.57	26.35	16.48	20.10	19.90	25.21	20.18	18.50
GGH	IPI00023728_GGH	7.86	12.82	12.44	19.23	15.08	18.16	20.01	19.57	5.27	6.87	27.83	27.55	16.80	8.56	14.15
EIF4A1	IPI00025491_EIF4A1	17.98	13.67	9.77	4.44	4.64	16.51	8.04	15.84	13.17	19.91	27.83	26.02	11.55	15.29	14.15
RYR1	IPI00334799_RYR1	3.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
IGFBP2	IPI00297284_IGFBP2	34.83	39.31	31.98	11.83	20.87	0.00	0.00	0.00	0.00	0.00	55.66	44.39	0.00	0.00	0.00
SLC3A2	IPI00554722_SLC3A2	16.85	10.25	18.66	13.31	16.24	23.11	25.12	20.50	10.54	6.18	6.18	3.06	10.50	3.67	5.98
STIP1	IPI00013894_STIP1	16.85	5.13	9.77	2.96	9.28	16.51	11.05	11.18	15.81	17.16	6.18	9.18	15.75	17.12	15.23
CTSH	IPI00297487_CTSH	0.00	3.42	0.00	0.00	0.00	8.25	15.07	13.05	0.00	3.43	6.18	6.12	36.76	40.36	50.01
S100A11	IPI00013895_S100A11	6.74	5.98	7.11	0.00	10.44	13.21	8.04	15.84	18.44	14.42	0.00	0.00	27.31	23.24	33.19
SDF4	IPI00106646_SDF4	22.47	17.94	19.55	11.83	15.08	4.95	4.02	5.59	2.63	6.18	15.46	6.12	8.40	4.89	5.44
PA2G4	IPI00299000_PA2G4	11.24	10.25	11.55	0.00	6.96	11.55	13.06	17.71	7.90	15.10	9.28	12.25	16.80	12.84	13.06
PDIA4	IPI00009904_PDIA4	3.37	4.27	6.22	41.41	52.19	9.90	12.06	9.32	3.95	6.87	0.00	7.65	0.00	3.06	4.90
SERPINB5	IPI00783625_SERPINB5	0.00	0.00	0.00	0.00	0.00	4.95	0.00	0.00	11.86	17.16	0.00	0.00	30.46	38.52	36.99
CLU	IPI00400826_CLU	3.37	0.00	0.00	0.00	0.00	14.86	13.06	8.39	5.27	6.18	26.28	32.14	22.05	23.24	23.94
IQGAP1	IPI00009342_IQGAP1	2.25	7.69	5.33	0.00	0.00	0.00	5.02	3.73	3.95	15.79	0.00	0.00	8.40	42.80	40.26
VCL	IPI00291175_VCL	10.11	5.98	5.33	2.96	4.64	16.51	8.04	8.39	17.13	10.98	9.28	4.59	19.95	12.23	9.79
WARS	IPI00295400_WARS	12.36	22.22	16.88	0.00	8.12	4.95	8.04	9.32	0.00	13.04	7.73	4.59	6.30	14.67	11.97
SET	IPI00072377_SET	7.86	9.40	8.00	7.39	8.12	23.11	9.04	11.18	15.81	8.24	7.73	13.78	24.16	20.79	14.69
PLS3	IPI00216694_PLS3	10.11	15.38	11.55	2.96	3.48	4.95	3.01	6.52	10.54	13.04	15.46	12.25	19.95	20.79	21.22
HNRNPK	IPI00216049_HNRNPK	11.24	11.11	4.44	0.00	5.80	18.16	7.03	9.32	15.81	15.10	20.10	21.43	9.45	11.01	12.51
ACLY	IPI00021290_ACLY	12.36	16.24	9.77	5.92	6.96	3.30	0.00	3.73	2.63	6.18	35.56	15.31	5.25	17.12	12.51
COCH	IPI00012386_COCH	6.74	5.98	9.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	71.12	153.07	0.00	0.00	0.00
CTSC	IPI01013193_CTSC	5.62	12.82	12.44	7.39	8.12	0.00	4.02	0.00	11.86	14.42	7.73	7.65	8.40	14.06	15.78
IGF2R	IPI00289819_IGF2R	4.49	11.96	7.11	42.89	74.22	0.00	5.02	4.66	0.00	0.00	3.09	0.00	0.00	0.00	0.00
HSPH1	IPI00218993_HSPH1	15.73	12.82	11.55	0.00	2.32	6.60	4.02	16.78	3.95	6.18	3.09	4.59	7.35	15.29	13.60
PPT1	IPI00002412_PPT1	13.48	5.98	12.44	5.92	9.28	6.60	10.01	10.25	7.90	13.04	32.47	21.43	9.45	4.89	7.62
LGMN	IPI00293303_LGMN	0.00	5.13	4.44	2.96	5.80	0.00	10.01	10.25	0.00	5.49	12.37	12.25	22.05	16.51	12.51
CD44	IPI00827650_CD44	6.74	11.96	8.88	22.18	11.60	14.86	7.03	6.52	10.54	4.81	0.00	0.00	32.56	6.73	10.34
SCYL2	IPI00396218_SCYL2	3.37	0.00	3.55	44.37	3.48	6.60	0.00	0.00	3.95	3.43	0.00	6.12	3.15	0.00	0.00
CAP1	IPI00639931_CAP1	11.24	8.54	15.99	2.96	11.60	8.25	7.03	12.12	9.22	16.48	0.00	3.06	6.30	15.90	11.42
