"","id","name","100fmol -score","12.5fmol-score","25fmol-score","50fmol -score"
"178","P16403_HIST1H1C","P16403_HIST1H1C","-0.117","-0.0074","0","0.1538"
"179","Q13404_UBE2V1","Q13404_UBE2V1","0.057","-0.1525","0.0533","0.0047"
"180","A0A0A0MTS2_GPI","A0A0A0MTS2_GPI","0","0.0714","0.0503","-0.1507"
"181","P52566_ARHGDIB","P52566_ARHGDIB","0.0683","0.0064","-0.1506","0.0608"
"182","P62258_YWHAE","P62258_YWHAE","0.1329","-0.0626","0.0559","-0.1495"
"183","O60888_2_CUTA","O60888_2_CUTA","-0.1425","0","0.0113","0.1487"
"184","P68871_HBB","P68871_HBB","0.1484","-0.1161","-0.0276","0"
"185","P61158_ACTR3","P61158_ACTR3","-0.1455","0.0729","0.0934","-0.013"
"186","A0A087WV47_IGHG1","A0A087WV47_IGHG1","0.0722","-0.1449","0.0836","-0.0301"
"187","P20061_TCN1","P20061_TCN1","-0.1309","-0.1244","0.114","0.1446"
"188","A0A087WZM2_RNASET2","A0A087WZM2_RNASET2","-0.1264","0.1325","0.1375","-0.1438"
"189","P04040_CAT","P04040_CAT","0.0057","0.0811","-0.1423","0.0471"
"190","P01616","P01616","0.0148","-0.0137","-0.1291","0.141"
"191","P02787_TF","P02787_TF","-0.0386","-0.1404","0.1239","0.0458"
"192","A0A087WZM5_FKBP1A","A0A087WZM5_FKBP1A","0.0332","-0.1385","0.0674","0.0014"
"193","P23280_CA6","P23280_CA6","-0.0861","0.1381","-0.04","0.0035"
"194","Q14847_LASP1","Q14847_LASP1","0.0052","0.0723","-0.1379","0.0516"
"195","Q68D86_CCDC102B","Q68D86_CCDC102B","-0.1379","0.0557","0.0202","0.0539"
"196","P0C0L5_C4B","P0C0L5_C4B","0.0954","-0.1366","0.0645","-0.043"
"197","P52209_PGD","P52209_PGD","0.0228","0.0172","0.0609","-0.1353"
"198","A0A087X130","A0A087X130","-0.1332","0.1197","0.1331","-0.1182"
