"X","X.1","out$p.value"
"P01876_IGHA1","P01876_IGHA1",0.918238685484776
"A0A087X2C0","A0A087X2C0",0.91845066317571
"A0A087WT59_TTR","A0A087WT59_TTR",0.918806617398219
"P08311_CTSG","P08311_CTSG",0.920731841390186
"A0A087WZW8","A0A087WZW8",0.922254126020064
"A0A075B6P5","A0A075B6P5",0.924873404558622
"P06753-2_TPM3","P06753-2_TPM3",0.925780098616587
"Q8N4F0_BPIFB2","Q8N4F0_BPIFB2",0.929979672657485
"A0A075B6L0_IGLC3","A0A075B6L0_IGLC3",0.932494818968839
"P04745_AMY1A","P04745_AMY1A",0.932979140173068
"Q96DR5_BPIFA2","Q96DR5_BPIFA2",0.93342499822356
"P31949_S100A11","P31949_S100A11",0.935028833244644
"P11142_HSPA8","P11142_HSPA8",0.936372946067267
"E9PK25_CFL1","E9PK25_CFL1",0.93682052981712
"Q9UGM3-6_DMBT1","Q9UGM3-6_DMBT1",0.936895946951624
"Q99536_VAT1","Q99536_VAT1",0.939274699131842
"Q06830_PRDX1","Q06830_PRDX1",0.9399741638386
"A0A087WW89","A0A087WW89",0.947792601716563
"P07237_P4HB","P07237_P4HB",0.948272569625139
"P12273_PIP","P12273_PIP",0.948606117902308
"P04264_KRT1","P04264_KRT1",0.951984185016405
"P52209_PGD","P52209_PGD",0.952187836243461
"Q01518_CAP1","Q01518_CAP1",0.952845555835916
"P30740_SERPINB1","P30740_SERPINB1",0.954803595852915
"P06396_GSN","P06396_GSN",0.956349760875547
"P62328_TMSB4X","P62328_TMSB4X",0.957996323742007
"P01779","P01779",0.958797619344823
"P07737_PFN1","P07737_PFN1",0.960481112177646
"J3KPA1_CRISP3","J3KPA1_CRISP3",0.964397757486972
"Q08188_TGM3","Q08188_TGM3",0.966317119774737
"P63261_ACTG1","P63261_ACTG1",0.966414012977003
"P25311_AZGP1","P25311_AZGP1",0.966495348165249
"P08670_VIM","P08670_VIM",0.96822720168821
"P59998-3_ARPC4","P59998-3_ARPC4",0.971631593460118
"P08107_HSPA1A","P08107_HSPA1A",0.971880649195147
"P18510-2_IL1RN","P18510-2_IL1RN",0.971951627334802
"P05164-3_MPO","P05164-3_MPO",0.972456113676008
"P50395_GDI2","P50395_GDI2",0.973388677470051
"P60174_TPI1","P60174_TPI1",0.973605332746551
"P01833_PIGR","P01833_PIGR",0.975300056456943
"P14174_MIF","P14174_MIF",0.975332685843049
"A0A087WX49_IGLL5","A0A087WX49_IGLL5",0.976320739271277
"P23280_CA6","P23280_CA6",0.976352748506178
"P14780_MMP9","P14780_MMP9",0.976464776734125
"O00299_CLIC1","O00299_CLIC1",0.976835530474608
"P00558_PGK1","P00558_PGK1",0.978055560066741
"CON__P13645_KRT10","CON__P13645_KRT10",0.978157989745642
"P40121_CAPG","P40121_CAPG",0.978317561874351
"P03973_SLPI","P03973_SLPI",0.979068969663348
"P02788_LTF","P02788_LTF",0.979266338189858
"P10412_HIST1H1E","P10412_HIST1H1E",0.980046693300027
"A0A0A0MTS2_GPI","A0A0A0MTS2_GPI",0.98029892918419
"P62937_PPIA","P62937_PPIA",0.981224731373193
"P32926_DSG3","P32926_DSG3",0.981395805058126
"P37837_TALDO1","P37837_TALDO1",0.981474726755554
"P01034_CST3","P01034_CST3",0.983295360403825
"P0C0S8_HIST1H2AG","P0C0S8_HIST1H2AG",0.983938913056548
"P14618_PKM2","P14618_PKM2",0.984136318628269
